Date,Open,High,Low,Close,Volume,Adj Close
2016-10-05,104.20,105.50,104.00,105.45,1222300,105.45
2016-10-04,104.20,105.60,103.65,105.45,2026400,105.45
2016-10-03,104.20,104.20,104.20,104.20,000,104.20
2016-09-30,101.80,104.70,101.55,104.20,2600700,104.20
2016-09-29,104.95,105.30,102.60,103.25,1532200,103.25
2016-09-28,104.10,105.50,103.75,104.05,1410100,104.05
2016-09-27,104.60,104.60,102.45,103.80,1452500,103.80
2016-09-26,105.35,105.45,103.50,103.65,1825400,103.65
2016-09-23,106.65,106.75,106.00,106.20,1323600,106.20
2016-09-22,104.80,107.30,104.60,106.65,2140300,106.65
2016-09-21,104.55,104.95,103.75,103.90,1124800,103.90
2016-09-20,104.00,104.70,103.55,103.60,1642600,103.60
2016-09-19,104.65,105.20,104.45,104.65,1370700,104.65
2016-09-16,105.65,106.05,103.45,103.75,5612100,103.75
2016-09-15,102.40,105.90,102.10,105.55,3276400,105.55
2016-09-14,102.65,103.35,102.15,102.45,2197700,102.45
2016-09-13,104.05,104.35,102.10,102.15,2278500,102.15
2016-09-12,102.70,104.00,101.70,103.80,2347800,103.80
2016-09-09,106.00,106.25,104.10,104.80,1986800,104.80
2016-09-08,108.15,108.35,105.20,106.25,2058800,106.25
2016-09-07,106.90,108.30,106.65,108.20,1456900,108.20
2016-09-06,108.80,108.90,107.70,107.95,1206300,107.95
2016-09-05,108.75,109.00,108.00,108.00,910400,108.00
2016-09-02,107.30,108.65,106.75,108.60,1537600,108.60
2016-09-01,107.50,107.90,105.80,106.65,1501400,106.65
2016-08-31,107.95,108.20,107.05,107.05,1667800,107.05
2016-08-30,107.80,109.00,107.50,108.50,1337000,108.50
2016-08-29,107.10,107.75,106.50,107.60,773800,107.60
2016-08-26,107.00,108.50,106.85,108.15,1339500,108.15
2016-08-25,107.35,107.80,106.85,107.25,1292000,107.25
2016-08-24,106.50,108.70,105.95,108.10,1841900,108.10
2016-08-23,106.70,107.60,106.35,107.00,1374200,107.00
2016-08-22,106.65,107.85,105.95,105.95,1584000,105.95
2016-08-19,106.40,107.00,105.30,107.00,1983800,107.00
2016-08-18,105.80,106.45,105.55,106.25,1509500,106.25
2016-08-17,106.25,106.75,105.05,105.35,1450300,105.35
2016-08-16,106.05,106.50,105.40,105.85,1531500,105.85
2016-08-15,107.20,107.85,106.60,107.10,1129200,107.10
2016-08-12,107.40,107.95,107.10,107.45,1710200,107.45
2016-08-11,105.80,107.45,105.35,107.45,1977300,107.45
2016-08-10,105.55,106.20,105.20,105.45,1746500,105.45
2016-08-09,103.25,106.25,103.10,106.25,2351800,106.25
2016-08-08,102.90,104.95,102.30,103.80,2638800,103.80
2016-08-05,100.90,102.55,100.35,102.55,2642300,102.55
2016-08-04,99.10,102.00,99.10,101.15,4717600,101.15
2016-08-03,96.19,96.87,95.57,96.80,1625100,96.80
2016-08-02,97.14,97.50,95.83,96.13,1965500,96.13
2016-08-01,97.89,98.27,96.51,96.95,1791600,96.95
2016-07-29,97.58,97.69,96.47,97.12,1946000,97.12
2016-07-28,96.21,97.48,96.20,96.71,2221000,96.71
2016-07-27,96.25,96.95,96.25,96.64,1322700,96.64
2016-07-26,95.35,96.10,95.17,95.70,1275200,95.70
2016-07-25,94.73,96.00,94.25,95.42,1312700,95.42
2016-07-22,95.10,95.45,94.28,94.82,1377800,94.82
2016-07-21,95.44,95.80,94.31,95.12,1439700,95.12
2016-07-20,93.86,95.32,93.60,95.31,1804900,95.31
2016-07-19,93.50,93.73,92.60,93.51,1267700,93.51
2016-07-18,94.40,95.23,93.54,93.94,1350900,93.94
2016-07-15,93.86,94.49,93.49,94.49,1866900,94.49
2016-07-14,94.01,94.62,93.21,94.08,2050300,94.08
2016-07-13,92.96,93.67,92.79,92.95,1638500,92.95
2016-07-12,92.16,93.88,92.05,93.40,1941800,93.40
2016-07-11,90.62,92.50,90.40,92.45,2256900,92.45
2016-07-08,88.04,89.70,87.75,89.24,2169900,89.24
2016-07-07,88.65,89.14,87.93,88.10,1848000,88.10
2016-07-06,89.61,90.43,87.76,88.04,2369700,88.04
2016-07-05,90.97,91.24,89.46,89.83,1980600,89.83
2016-07-04,92.33,92.56,91.56,91.75,1145200,91.75
2016-07-01,92.34,92.50,91.04,92.06,2137700,92.06
2016-06-30,90.79,92.02,90.06,91.81,2710100,91.81
2016-06-29,89.76,91.10,89.23,90.77,2367500,90.77
2016-06-28,88.86,89.90,88.27,89.19,3416700,89.19
2016-06-27,89.39,90.70,86.82,87.39,4706200,87.39
2016-06-24,90.00,91.46,88.20,90.52,9120900,90.52
2016-06-23,96.42,98.40,96.28,97.76,2638300,97.76
2016-06-22,96.54,97.14,95.91,96.10,1888900,96.10
2016-06-21,94.66,96.21,94.56,95.76,2083800,95.76
2016-06-20,94.20,95.54,94.06,94.95,2789600,94.95
2016-06-17,91.91,92.65,91.58,92.29,5281800,92.29
2016-06-16,90.31,91.35,89.54,90.89,2759300,90.89
2016-06-15,91.00,92.35,90.76,91.77,2594100,91.77
2016-06-14,90.51,91.28,89.98,90.17,3020700,90.17
2016-06-13,92.00,92.82,91.55,91.55,2199400,91.55
